START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/19/18,06:35 PM,06:35 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/19/18,04/19/18,09:35 PM,09:35 PM,FALSE,TRUE,04/19/18,05:35 PM,05:35 PM,FREE,BUSY
04/20/18,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/20/18,04/20/18,10:05 PM,10:05 PM,FALSE,TRUE,04/20/18,06:05 PM,06:05 PM,FREE,BUSY
04/21/18,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/21/18,04/21/18,04:05 PM,04:05 PM,FALSE,TRUE,04/21/18,12:05 PM,12:05 PM,FREE,BUSY
04/22/18,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"",04/22/18,04/22/18,04:05 PM,04:05 PM,FALSE,TRUE,04/22/18,12:05 PM,12:05 PM,FREE,BUSY
04/24/18,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/24/18,04/24/18,10:07 PM,10:07 PM,FALSE,TRUE,04/24/18,06:07 PM,06:07 PM,FREE,BUSY
04/25/18,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/25/18,04/25/18,10:07 PM,10:07 PM,FALSE,TRUE,04/25/18,06:07 PM,06:07 PM,FREE,BUSY
04/26/18,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/26/18,04/26/18,10:07 PM,10:07 PM,FALSE,TRUE,04/26/18,06:07 PM,06:07 PM,FREE,BUSY
04/27/18,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",04/27/18,04/27/18,10:07 PM,10:07 PM,FALSE,TRUE,04/27/18,06:07 PM,06:07 PM,FREE,BUSY
04/28/18,04:07 PM,04:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",04/28/18,04/28/18,07:07 PM,07:07 PM,FALSE,TRUE,04/28/18,03:07 PM,03:07 PM,FREE,BUSY
04/29/18,01:07 PM,01:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"",04/29/18,04/29/18,04:07 PM,04:07 PM,FALSE,TRUE,04/29/18,12:07 PM,12:07 PM,FREE,BUSY
04/30/18,08:10 PM,08:10 PM,Blue Jays at Twins,Target Field - Minneapolis,"",04/30/18,04/30/18,11:10 PM,11:10 PM,FALSE,TRUE,04/30/18,07:10 PM,07:10 PM,FREE,BUSY
